Player,Spotrac_ID,Team,Salary
Amir Johnson,http://www.spotrac.com/redirect/player/2304/,BOS,12000000
Avery Bradley,http://www.spotrac.com/redirect/player/6901/,BOS,8269663
Tyler Zeller,http://www.spotrac.com/redirect/player/10825/,BOS,8000000
Isaiah Thomas,http://www.spotrac.com/redirect/player/8111/,BOS,6587132
Jae Crowder,http://www.spotrac.com/redirect/player/10859/,BOS,6286408
Jonas Jerebko,http://www.spotrac.com/redirect/player/6285/,BOS,5000000
Jaylen Brown,http://www.spotrac.com/redirect/player/20208/,BOS,4743000
Marcus Smart,http://www.spotrac.com/redirect/player/15358/,BOS,3578880
Kelly Olynyk,http://www.spotrac.com/redirect/player/13326/,BOS,3094014
Terry Rozier,http://www.spotrac.com/redirect/player/17844/,BOS,1906440
James Young,http://www.spotrac.com/redirect/player/15369/,BOS,1825200
Demetrius Jackson,http://www.spotrac.com/redirect/player/20251/,BOS,1450000
Jordan Mickey,http://www.spotrac.com/redirect/player/17861/,BOS,1223653
Gerald Green,http://www.spotrac.com/redirect/player/6100/,BOS,980431
Brook Lopez,http://www.spotrac.com/redirect/player/6136/,BKN,21165675
Jeremy Lin,http://www.spotrac.com/redirect/player/7115/,BKN,11483254
Trevor Booker,http://www.spotrac.com/redirect/player/6905/,BKN,9250000
Andrew Nicholson,http://www.spotrac.com/redirect/player/10844/,BKN,6088993
K.J. McDaniels,http://www.spotrac.com/redirect/player/15384/,BKN,3333333
Justin Hamilton,http://www.spotrac.com/redirect/player/10870/,BKN,3000000
Randy Foye,http://www.spotrac.com/redirect/player/2576/,BKN,2500000
Quincy Acy,http://www.spotrac.com/redirect/player/10862/,BKN,1790092
Caris LeVert,http://www.spotrac.com/redirect/player/20225/,BKN,1562280
Rondae Hollis-Jefferson,http://www.spotrac.com/redirect/player/17851/,BKN,1395600
Isaiah Whitehead,http://www.spotrac.com/redirect/player/20248/,BKN,1074145
Joe Harris,http://www.spotrac.com/redirect/player/15385/,BKN,980431
Sean Kilpatrick,http://www.spotrac.com/redirect/player/15922/,BKN,980431
Spencer Dinwiddie,http://www.spotrac.com/redirect/player/15390/,BKN,726672
Archie Goodwin,http://www.spotrac.com/redirect/player/13342/,BKN,75000
Paul George,http://www.spotrac.com/redirect/player/6892/,IND,18314532
Thaddeus Young,http://www.spotrac.com/redirect/player/2658/,IND,14153652
Monta Ellis,http://www.spotrac.com/redirect/player/2318/,IND,10763500
Al Jefferson,http://www.spotrac.com/redirect/player/2579/,IND,10230179
Jeff Teague,http://www.spotrac.com/redirect/player/6272/,IND,8800000
C.J. Miles,http://www.spotrac.com/redirect/player/2753/,IND,4583450
Lance Stephenson,http://www.spotrac.com/redirect/player/6922/,IND,4000000
LaVoy Allen,http://www.spotrac.com/redirect/player/8102/,IND,4000000
Aaron Brooks,http://www.spotrac.com/redirect/player/2390/,IND,2700000
Myles Turner,http://www.spotrac.com/redirect/player/17839/,IND,2463840
Kevin Seraphin,http://www.spotrac.com/redirect/player/6899/,IND,1800000
Rakeem Christmas,http://www.spotrac.com/redirect/player/17864/,IND,1052342
