Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block,How_Acquired,Date_Acquired,Traded_From
Marcus Georges-Hunt,http://www.spotrac.com/redirect/player/20982/,MIN,1312611,Minimum,,,signed,2017-08-10,
Mike Conley,http://www.spotrac.com/redirect/player/2532/,MEM,28530608,Bird,,,,,
Chandler Parsons,http://www.spotrac.com/redirect/player/8090/,MEM,23112004,Cap Space,,,,,
Marc Gasol,http://www.spotrac.com/redirect/player/6122/,MEM,22642350,Bird,True,,,,
JaMychal Green,http://www.spotrac.com/redirect/player/11666/,MEM,8533333,Bird,,,signed,2017-09-27,
Ben McLemore,http://www.spotrac.com/redirect/player/13320/,MEM,5200000,MLE,,,signed,2017-07-06,
Tyreke Evans,http://www.spotrac.com/redirect/player/6326/,MEM,3290000,Bi-Annual,,,signed,2017-07-10,
Mario Chalmers,http://www.spotrac.com/redirect/player/6128/,MEM,1471382,Minimum,,,signed,2017-07-19,
Jarell Martin,http://www.spotrac.com/redirect/player/17853/,MEM,1471382,Rookie,,,,,
Brice Johnson,http://www.spotrac.com/redirect/player/20230/,MEM,1331160,Rookie,,,,,
Deyonta Davis,http://www.spotrac.com/redirect/player/20237/,MEM,1312611,Cap Space,,,,,
Andrew Harrison,http://www.spotrac.com/redirect/player/17872/,MEM,1312611,Cap Space,,,,,
Wayne Selden,http://www.spotrac.com/redirect/player/20921/,MEM,1312611,Minimum,,,signed,2017-07-01,
Ivan Rabb,http://www.spotrac.com/redirect/player/23630/,MEM,950000,MLE,,,signed,2017-09-21,
Dillon Brooks,http://www.spotrac.com/redirect/player/23646/,MEM,815615,MLE,,,signed,2017-07-21,
Hassan Whiteside,http://www.spotrac.com/redirect/player/6915/,MIA,23775506,Cap Space,,,,,
Goran Dragic,http://www.spotrac.com/redirect/player/6146/,MIA,17000450,Bird,,,,,
James Johnson,http://www.spotrac.com/redirect/player/6279/,MIA,13954000,Cap Space,,,signed,2017-07-07,
Dion Waiters,http://www.spotrac.com/redirect/player/10812/,MIA,11000000,Cap Space,,,signed,2017-07-07,
Kelly Olynyk,http://www.spotrac.com/redirect/player/13326/,MIA,10607169,Cap Space,True,,signed,2017-07-07,
Wayne Ellington,http://www.spotrac.com/redirect/player/6302/,MIA,6270000,Cap Space,,,,,
Tyler Johnson,http://www.spotrac.com/redirect/player/15645/,MIA,5881260,Cap Space,True,,,,
Justise Winslow,http://www.spotrac.com/redirect/player/17838/,MIA,2705040,Rookie,,,,,
Edrice Adebayo,http://www.spotrac.com/redirect/player/23609/,MIA,2490360,Rookie,,,signed,2017-07-01,
Udonis Haslem,http://www.spotrac.com/redirect/player/2549/,MIA,1471382,Minimum,,True,signed,2017-07-20,
Dwyane Wade,http://www.spotrac.com/redirect/player/2556/,MIA,1471382,Minimum,,,,,
Luke Babbitt,http://www.spotrac.com/redirect/player/6898/,MIA,1471382,Minimum,,,signed,2017-08-09,
Jordan Mickey,http://www.spotrac.com/redirect/player/17861/,MIA,1471382,Minimum,,,signed,2017-08-20,
Josh Richardson,http://www.spotrac.com/redirect/player/17868/,MIA,1471382,Mini MLE,,,signed,2017-09-18,
Rodney McGruder,http://www.spotrac.com/redirect/player/13575/,MIA,1312611,Cap Space,,,,,
Gordon Hayward,http://www.spotrac.com/redirect/player/6891/,BOS,29727900,Cap Space,True,,signed,2017-07-14,
Al Horford,http://www.spotrac.com/redirect/player/2199/,BOS,27734405,Cap Space,True,,,,
Kyrie Irving,http://www.spotrac.com/redirect/player/8051/,BOS,18868625,Bird,True,,traded,2017-08-22,CLE
Jayson Tatum,http://www.spotrac.com/redirect/player/23598/,BOS,5645400,Rookie,,,signed,2017-07-01,
Greg Monroe,http://www.spotrac.com/redirect/player/6889/,BOS,5000000,DPE,,,,,
Marcus Morris,http://www.spotrac.com/redirect/player/8065/,BOS,5000000,Bird,,,traded,2017-07-07,DET
Jaylen Brown,http://www.spotrac.com/redirect/player/20208/,BOS,4956480,Rookie,,,,,
Marcus Smart,http://www.spotrac.com/redirect/player/15358/,BOS,4538020,Rookie,,,,,
Aron Baynes,http://www.spotrac.com/redirect/player/11850/,BOS,4328000,Room,,,signed,2017-07-19,
Guerschon Yabusele,http://www.spotrac.com/redirect/player/20221/,BOS,2247480,Rookie,,,signed,2017-07-20,
Terry Rozier,http://www.spotrac.com/redirect/player/17844/,BOS,1988520,Rookie,,,,,
Shane Larkin,http://www.spotrac.com/redirect/player/13331/,BOS,1471382,Minimum,,,signed,2017-07-31,
Semi Ojeleye,http://www.spotrac.com/redirect/player/23632/,BOS,1291892,Cap Space,,,signed,2017-07-18,
Abdel Nader,http://www.spotrac.com/redirect/player/20264/,BOS,1167333,Cap Space,,,signed,2017-07-15,
Daniel Theis,http://www.spotrac.com/redirect/player/23828/,BOS,815615,Minimum,,,signed,2017-07-20,
Bismack Biyombo,http://www.spotrac.com/redirect/player/8057/,ORL,17000000,Cap Space,,,,,
Evan Fournier,http://www.spotrac.com/redirect/player/10845/,ORL,17000000,Bird,,,,,
Nikola Vucevic,http://www.spotrac.com/redirect/player/8067/,ORL,12250000,Bird,,,,,
Terrence Ross,http://www.spotrac.com/redirect/player/10816/,ORL,10500000,Bird,,,traded,2017-02-14,TOR
